categorie,partenaire,nom_commune,description,url_facebook,url_website
VOYAGE_HOTEL,HÔTEL OURE LODGE,ILE DES PINS,"Bordé d’une eau turquoise, de cocotiers et de plages de sables blanc à perte de vue. L’ Oure Lodge saura sans nul doute, éveiller vos sens grâce à son élégance et son prestige.",https://www.facebook.com/OureLodge/,
VOYAGE_HOTEL,HÔTEL SHERATON,NOUMEA,"Sheraton New Caledonia Deva Spa & Golf Resort (Bourail, New Caledonia)",https://www.facebook.com/sheratondeva/?locale=fr_FR,
VOYAGE_HOTEL,HÔTEL TIETI,POINDIMIE,"Plongez côte Est à l'hôtel Tiéti, et profitez de sa plage naturelle, à l'orée de Poindimié.",https://www.facebook.com/HotelTieti/?locale=fr_FR,
VOYAGE_HOTEL,ILE AUX CANARDS,NOUMEA,,https://www.facebook.com/ileauxcanards/?locale=fr_FR,
BIEN-ETRE_BEAUTE,ADOPT,"NOUMEA,POUEMBOUT",ADOPT c'est une vision nouvelle d'une parfumerie engagée pour tous et pour la planète ! + de 150 parfums différents Gamme de MAQUILLAGE & SOINS,https://www.facebook.com/adopt.noumea,
BIEN-ETRE_BEAUTE,BAIN DE CRISTAL (espace salonique),NOUMEA,CENTRE DE BIEN-ÊTRE. ✨ Soins energetiques Bain de cristal. Adultes et enfants. ASTROLOGIE. Thème astral. Révolution solaire,https://www.facebook.com/p/Bain-de-cristal-Lespace-Salonique-100063868577254/,
BIEN-ETRE_BEAUTE,BALI ZEN,NOUMEA,"Un salon de massage spécialisé dans les massages traditionnel balinais,",https://www.facebook.com/balizen2022/,
BIEN-ETRE_BEAUTE,BLACK DIAMOND HAIR,NOUMEA,"Coiffeuse pour tous types de cheveux (crépus, bouclés, lisses, ondulés), pour tous vos évènements ou pour la vie quotidienne.",https://www.facebook.com/p/Black-Diamond-Hair-NC-100067890965088/?locale=fr_FR,
BIEN-ETRE_BEAUTE,CLUB PARFUM,NOUMEA,Fabrication Artisanale et Locale d'Eaux de parfum et d'Articles Complémentaires de l'univers Maison,https://www.facebook.com/profile.php?id=100064207950491,
BIEN-ETRE_BEAUTE,DEEP NATURE SPA,"NOUMEA,BOURAIL","Deep Nature, l'immersion au cœur de votre bien-être : 3 spas au Méridien Nouméa & Île des Pins,",https://www.facebook.com/deepnaturespanouvellecaledonie/?locale=fr_FR,
BIEN-ETRE_BEAUTE,DESSANGE,NOUMEA,,https://www.facebook.com/dessange.noumea/?locale=fr_FR,
BIEN-ETRE_BEAUTE,DISTILLERIE DE BOULOUPARIS,BOULOUPARIS,Distillerie d'huile essentielle de Niaouli et autres plantes aromatiques. Fabrication d'Huiles ,https://www.facebook.com/distillerieboulouparis/,
BIEN-ETRE_BEAUTE,DOUCE HEURE,KOUMAC,institut de beauté Douce'Heure,https://www.facebook.com/groups/1696478830367942/,
BIEN-ETRE_BEAUTE,DOUCEURS DU COEURS,NOUMEA,"Massage, soins esthétiques et énergétiques",https://www.facebook.com/massage.esthetique.doula/?locale=fr_FR,
BIEN-ETRE_BEAUTE,ELISE DUTHEIL MAKE UP,NOUMEA,"Maquilleuse Professionnelle, je réalise toute sorte de maquillages . Mariages , soirées , photos , mode , télévision , maquillages enfants",https://www.facebook.com/dutheilelisemakeupartist/?locale=fr_FR,
BIEN-ETRE_BEAUTE,ELIXIR,NOUMEA,"Institut de beauté et de massage mixte, uniquement sur rdv au 95.83.63",https://www.facebook.com/elixirinstitut.noumea/?locale=fr_FR,
BIEN-ETRE_BEAUTE,EMA’ESTHETIQUE,NOUMEA,"Soins Esthétiques traditionnels, Massage corps Abhyanga et Soin énergétique. Appareil BLOOMEA",https://www.facebook.com/ema.esthetique.nc/?locale=fr_FR,
